"tweet","date","link"
"Fin de la journée au procès #Magnotta. Dr Chamberland poursuivra son témoignage mercredi, 9h30.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537358379950551040"
"Une fois les symptômes négatifs installés, c'est «très difficile à récupérer», dit Chamberland #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537358170059177984"
"Aussi, la pensée s'appauvrit, les gens s'éteignent, poursuit Chamberland. Et les médicaments accentuent ça. #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537357665786429441"
"Symptômes négatifs: les relations avec les gens en souffrent. Idem pour l'ambition, le goût de faire des choses -Chamberland #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537357486232461313"
"Schizophrènes perdent leur capacité, dit Chamberland. Après épisode psychotique, les gens ne peuvent reprendre leur état antérieur #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537357192601796608"
"Les symptômes négatifs, «c'est l'essence même de la schizophrénie» dit Chamberland. #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537356832113950720"
"Que #Magnotta se soit senti menacé par des groupes de défense des snimaux, c'est possible, dit Chamberland. Pas un délire donc.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537356419700649985"
"Aut symptôme positif possible: les délires. Il faut que ce soit faux, et que le malade ne puisse être convaincu que c'est le cas #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537356054141874176"
"Autre exemple de symptôme positif de la schizophrénie: les hallucinations visuelles. C'est plus rare, dit Chamberland #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537355797542760448"
"Ex de symptôme positif: entendre des voix. Ça ne veut pas dire que le malade perd contact avec la réalité, dit Chamberland #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537355045797625857"
"Sur la schizophrénie: il y a des symptômes positifs (ce qu'un malade a de plus) et négatifs (ce qu'un malade perd) -Chamberland #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537354821817597952"
"Chamberland explique qu'avant de venir assister au procès, il a eu bcp d'infos. Plus de 50 DVD + dossiers mėdicaux de #Magnotta notamment.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537354357004840960"
"Chamberland évoque qu'il y avait un enjeu pour #Magnotta vis à vis l'expertise. Premier critère de simulation selon DSM5 d'ailleurs.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537353927948120065"
"Les choses s'expliquent «beaucoup plus facilement» avec la 2e hypothèse, ajoute Chamberland #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537353229492051968"
"Chamberland glisse au passage qu'il voit des éléments de simulation dans le dossier #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537352746903810048"
"2) on peut considérer ce qu'il a dit à Paris: il souffre de schizo, en raison des drogues, mais a plus trouble de la personnalité #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537352604599484416"
"Chamberland dit qu'il voit deux grandes possibilités dans dossier #Magnotta: 1) l'accusé souffre de schizophrénie #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537352306556428288"
"«On pourrait faire un cours de psychiatrie presque complet avec ce qui s'est passé ici», lance Chamberland #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537351888757616641"
