tweet,date,link,events,selected,journalist
Procès #Magnotta reprend après long échange en l'absence du jury. Chaque jour amène son lot d'échanges du genre.,10/1/2014,https://twitter.com/#!/MessierSRC/status/517410703792406529,procedure,,@MessierSRC
L'avocat de #Magnotta pose nombreuses questions sur activités de Lin Jun. Lien avec «l'état d'esprit» de #Magnotta vraiment pas clair.,10/1/2014,https://twitter.com/#!/MessierSRC/status/517402446159953921,Paris,,@MessierSRC
Me Leclair lit annonces explicites envoyées sur Grindr. Lin Feng dit qu'on pouvait écrire n'importe quoi sur ce site. #Magnotta,10/1/2014,https://twitter.com/#!/MessierSRC/status/517395527814873089,arrestation,,@MessierSRC
"L'avocat de #Magnotta lit des saisies d'écrans du site de rencontres pour gais Grindr, qu'utilisait Lin Jun, selon témoignage de Lin Feng.",10/1/2014,https://twitter.com/#!/MessierSRC/status/517394224879513601,Paris,,@MessierSRC
Me Leclair offre ses sympathies à Lin Feng. Lui explique que le procès porte sur l'état d'esprit de #Magnotta. Lui demande d'être candide.,10/1/2014,https://twitter.com/#!/MessierSRC/status/517393554084462596,arrestation,,@MessierSRC
"Procès #Magnotta reprend. L'ex-amant de la victime, Lin Feng, sera contre-interrogé par l'avocat de l'accusé, Luc Leclair.",10/1/2014,https://twitter.com/#!/MessierSRC/status/517392710458949633,procedure,,@MessierSRC
Procès #Magnotta ajourne jusqu'à 15h15.,10/1/2014,https://twitter.com/#!/MessierSRC/status/517382437316620289,procedure,,@MessierSRC
Le grief de l'avocat de #Magnotta est maintenant entendu par juge Cournoyer. Nous ne pouvons vous en expliquer la teneur.,10/1/2014,https://twitter.com/#!/MessierSRC/status/517380156584108032,procedure,,@MessierSRC
Avocat de #magnotta doit contre-interroger Feng... mais demande plutôt ajournement pour reste de la journée. Juge invite jury à se retirer.,10/1/2014,https://twitter.com/#!/MessierSRC/status/517379411285647361,procedure,,@MessierSRC
"Bon, transmission du procès #Magnotta reprend.",10/1/2014,https://twitter.com/#!/MessierSRC/status/517378529919795200,procedure,,@MessierSRC
Problème majeur au procès #Magnotta. Transmission du son/image a cessé dans les salles de débordement. Impossible de suivre le procès.,10/1/2014,https://twitter.com/#!/MessierSRC/status/517378269944233984,procedure,,@MessierSRC
"Procès #Magnotta reprend à l'instant, avec témoignage de Lin Feng, l'ex-amant de Lin Jun.",10/1/2014,https://twitter.com/#!/MessierSRC/status/517377192087797760,procedure,,@MessierSRC
"RT @gendrosy: Le conjoint de Lin Jun, Lin Feng, témoigne aujourd'hui au palais de justice de Montréal #magnotta <a href=""http://t.co/GqM7aufJLb"" target=""_blank"">http://t.co/GqM7aufJLb</a>",10/1/2014,https://twitter.com/#!/MessierSRC/status/517356783233679360,procedure,,@MessierSRC
"Lin Feng a appris existence de la vidéo, l'a regardé plusieurs minutes, était certain que ce n'était pas Lin Jun... #Magnotta",10/1/2014,https://twitter.com/#!/MessierSRC/status/517347037306945536,lin jun,,@MessierSRC
"Lin Feng explique qu'il a quitté Bangkok, où il était en vacances, le 30 mai 2012. Il était inquiet #Magnotta",10/1/2014,https://twitter.com/#!/MessierSRC/status/517346288464306176,lin jun,,@MessierSRC
Lin Feng explique sa réaction quand Lin Jun a cessé de répondre à ses messages. Il a essayé de joindre des amis. #Magnotta,10/1/2014,https://twitter.com/#!/MessierSRC/status/517345136888799232,lin jun,,@MessierSRC
"Lin Feng parle de son conjoint: habitues de vie, poids, grandeur, etc. Il dit qu'ils étaient tous deux fidèles. #Magnotta",10/1/2014,https://twitter.com/#!/MessierSRC/status/517343472807071745,lin jun,,@MessierSRC
"Lin Jun et moi étions amis quand je suis retourné en Chine, dit Lin Feng. Sa famille ne savait pas qu'il était homosexuel, dit-il #Magnotta",10/1/2014,https://twitter.com/#!/MessierSRC/status/517342932081594368,lin jun,1,@MessierSRC
Feng Lin explique avoir reçu dernier message de Lin Jun le 24 mai 2012. Son conjoint n'a pas répondu à son dernier message...,10/1/2014,https://twitter.com/#!/MessierSRC/status/517341762957099008,lin jun,,@MessierSRC
"Feng Lin explique être retourné en Chine mi-mai 2012 pour voir sa famille, est revenu après meurtre. #Magnotta",10/1/2014,https://twitter.com/#!/MessierSRC/status/517341259850342401,lin jun,,@MessierSRC
"Lin Jun était mon amoureux, dit Feng Lin. Ns ns sommes connus en Chine, mais notre relation a commencé après Noël 2010, dit-il.",10/1/2014,https://twitter.com/#!/MessierSRC/status/517340111911280640,lin jun,1,@MessierSRC
"Le conjoint de Lin Jun, Feng Lin, entreprend son témoignage au procès #Magnotta. Témoigne en mandarin, via interprète.",10/1/2014,https://twitter.com/#!/MessierSRC/status/517339197519437824,lin jun,,@MessierSRC
Me Leclair ne donne aucune indication quant à l'utilité de l'exercice. Jury a déjà tous ces items sur des photos. #Magnotta,10/1/2014,https://twitter.com/#!/MessierSRC/status/517326422311190530,arrestation,,@MessierSRC
"Me Leclair présente colis de la poste, sacs cadeau, papiers de soie rose, notes manuscrites envoyées aux écoles de Vancouver, etc #Magnotta",10/1/2014,https://twitter.com/#!/MessierSRC/status/517326102315155456,preuve,1,@MessierSRC
Nous en sommes tjrs à l'exercice fastidieux de présentation au jury de certains éléments recueillis par la police par l'avocat de #Magnotta.,10/1/2014,https://twitter.com/#!/MessierSRC/status/517325523983536128,preuve,,@MessierSRC
"Autres éléments qui intéressent l'avocat de #Magnotta: support athlétique, pantalon noir. Il passe ensuite aux preuves reçues de Vancouver.",10/1/2014,https://twitter.com/#!/MessierSRC/status/517316324096499713,preuve,,@MessierSRC
Me Leclair exhibe devant le jury le carré rouge retrouvé dans les ordures près de l'appartement de #Magnotta.,10/1/2014,https://twitter.com/#!/MessierSRC/status/517313764505681920,arrestation,,@MessierSRC
