tweet,date,events
"Berlin, 4 juin 2012: « Vous m'avez eu. Je suis M. #Magnotta. Je suis celui que vous cherchez » http://t.co/bQ2jT3vOGE http://t.co/s3MUwAGBpu",10/28/2014,arrestation
Leymann n'a pas dit au suspect ses droits. Il pensait que quelqu'un les lui avait déjà lus #Magnotta,10/28/2014,arrestation
"Selon Leymann, #Magnotta évitait le regard des policiers dans la voiture le conduisant au centre de détention.",10/28/2014,arrestation
Leymann précise maintenant que #Magnotta lui a semblé arrogant quand il est entré dans l'autopatrouille.,10/28/2014,arrestation
Leymann confirme que #Magnotta coopérait avec les policiers malgré tout. Il faisait ce qu'on lui disait de faire.,10/28/2014,arrestation
"Leymann répète que la façon dont #Magnotta le regardait lui semblait arrogante, ""comme si personne ne pouvait rien contre lui""",10/28/2014,arrestation
"Son comportement pendant prises d'empreintes digitales/photographies? Il était très calme, voire arrogant, dit Leymann #Magnotta",10/28/2014,arrestation
"Arrivé au centre de détention, on l'a fouillé, mais pas à nu, dit Leymann. #Magnotta",10/28/2014,arrestation
"#Magnotta était calme pendant le transport. Il portait lunettes fumées, qu'on lui a demandé d'enlever, dit Leymann",10/28/2014,arrestation
Leymann a vu #Magnotta une première fois quand ses collègues l'ont mis dans l'autopatrouille.,10/28/2014,arrestation
Leymann est resté dans la voiture lors de l'arrestation de #Magnotta Cherchait des images de lui sur Google pour comparer.,10/28/2014,arrestation
Leymann accompagnait le policier Lilge le 4 juin 2012. Il raconte à son tour l'arrestation de #Magnotta dans un café Internet de Berlin,10/28/2014,arrestation
Me Leclair s'attarde longuement au fait que Lilge n'a pas dit à #Magnotta qu'il pouvait contacter personnel diplomatique canadien.,10/28/2014,arrestation
"#Magnotta n'a pas répondu quand j'ai évoqué son droit à un avocat, dit Lilge. Il croit que #Magnotta comprenait bien pourtant.",10/28/2014,arrestation
Lilge dit avoir dit à #Magnotta qu'il avait droit à un avocat dans la foulée de son arrestation.,10/28/2014,arrestation
"#Magnotta a fait tout ce qu'on lui a demandé, sans problème, poursuit Lilge. Je crois qu'il me comprenait bien en anglais.",10/28/2014,arrestation
"#Magnotta avait un sourire dans l'autopatrouille, dit Lilge. J'ai senti qu'il était soulagé. Il faisait ce qu'on lui disait",10/28/2014,arrestation
"Lui ai dit qu'il y avait mandat international, l'ai amené à la voiture. Il était pressé, ne voulait pas que la presse arrive #Magnotta",10/28/2014,arrestation
"""Vouz m'avez eu""a dit #Magnotta. ""Je suis l'homme que vous cherchez, selon policier Lilge.""",10/28/2014,arrestation
"#Magnotta a commencé à tremebler, à transpirer. C'était clair qu'il y avait qq chose avec lui, dit Lilge.",10/28/2014,arrestation
Lilge a rédigé un rapport sur l'arrestation. On y lit que #Magnotta lui a dit venir de New York.,10/28/2014,arrestation
"#Magnotta m'a dit qu'il était Américain, ajoute Lilge.",10/28/2014,arrestation
"#Magnotta est devenu nerveux. Je lui ai demandé de me suivre. Il m'avait dit qu'il voyageait en Europe, visitait des amis -Lilge",10/28/2014,arrestation
"#Magnotta m'a dit qu'il n'avait pas de papiers d'identité. M'a dit qu'il s'appelait Kirk Tramell, poursuit Lilge.",10/28/2014,arrestation
"Quand #Magnotta nous a vus, il a regardé le nombre de policiers. Je lui ai demandé des papiers d'identité, relate Lilge.",10/28/2014,arrestation
"Lilge est entré avec ses collègues, s'est approché de #Magnotta, qui n'a pas réalisé ce qui se passait au départ.",10/28/2014,arrestation
"J'ai dit à mes étudiants de googler #Magnotta. Le propriétaire a confirmé que c'était lui. Nous a dit où il était assis, dit Lilge.",10/28/2014,arrestation
"Le 4 juin 2012, le propriétaire d'un café Internet nous a fait signe, ns a dit qu'il croyait qu'un criminel canadien s'y trouvait #Magnotta",10/28/2014,arrestation
Lilge patrouillait avec un collègue et 7-8 étudiants à Berlin le 4 juin 2012. #Magnotta,10/28/2014,arrestation
"Ce fut une conversation très courte, dit Emmert. Elle reconnaît #Magnotta sur un écran, mais il était plus mince à l'époque.",10/28/2014,Berlin
"Emmert décrit la rencontre avec #Magnotta. Il était calme, n'avait pas d'émotions, dit-elle, à l'instar de Huebner.",10/28/2014,Berlin
Emmert a rencontré #Magnotta avec Huebner le 4 juin 2012.,10/28/2014,Berlin
Huebner ne se souvient pas avoir dit à #Magnotta qu'il avait droit à un avocat. Fin du témoignage. Pause de 20 minutes.,10/28/2014,arrestation
Huebner dit avoir respecté le droit au silence de #Magnotta. Mais il ne peut dire combien de fois il a essayé de lui parler.,10/28/2014,arrestation
"#Magnotta ne semblait pas avoir d'émotions quand je lui ai parlé, dit Huebner, incapable de dire s'il était poli à ce moment.",10/28/2014,arrestation
Huebner dit être resté seulement qq minutes dans la cellule. #Magnotta est resté assis sur son lit tout ce temps.,10/28/2014,arrestation
"#Magnotta était calme quand j'étais avec lui, dit Huebner, qui était accompagné d'une collègue à cette occasion.",10/28/2014,arrestation
"Huebner dit avoir lu ses droits à #Magnotta. Il a dit plusieurs fois qu'il ne voulait pas me parler, dit-il.",10/28/2014,arrestation
"Huebner a parlé à #Magnotta en anglais, sans interprète. Lui a dit en gros qu'il voulait lui poser des questions, notamment.",10/28/2014,arrestation
"Huebner a rencontré #Magnotta le jour de son arrestation, dans sa cellule.",10/28/2014,arrestation
Huebner explique avoir rencontré deux policiers qui ont arrêté #Magnotta à Berlin 4 juin 2012 pour savoir ce qui s'est passé.,10/28/2014,arrestation
"Le témoignage de Huebner a été livré devant commission rogatoire, à Berlin, le 1er juillet dernier. #Magnotta",10/28/2014,arrestation
"#Magnotta n'a pas payé, dit le commis du café Internet de Berlin. La police l'a arrêté avant...",10/28/2014,Berlin
Témoin explique que #Magnotta a été dans le café 45 minutes. Il regardait photos de lui publiées par Interpol,10/28/2014,Berlin
Témoin explique avoir arrêté des policiers allemands pour les prévenir qu'un type qu'il croyait recherché était dans son café.,10/28/2014,Berlin
Témoin décrit arrivée de #Magnotta dans le café. Il dit qu'il avait vu sa photo le matin même dans la presse.,10/28/2014,Berlin
"Nouveau témoin est commis du café Internet où #Magnotta a été arrêté à Berlin 4 juin 2012. Kadir Anlayisli, si j'en crois mes collègues...",10/28/2014,Berlin
"Départ de #Magnotta vers Berlin: il était facile de le repérer sur les vidéos de surveillance de la gare routière, dit Miellot.",10/28/2014,Paris
L'avocat de #Magnotta veut détails sur les trois cartes bancaires utilisées par son client en France.,10/28/2014,Paris
"Il été facile d'identifier #Magnotta sur vidéos de surveillance de l'aéroport CDG, dit témoin. Il avait même chandail Mickey qu'à Montréal",10/28/2014,Paris
Police française a ensuite réalisé que Kirk Tramell (#Magnotta) avait pris billet pour Berlin. Bandes vidéos confirment son départ -Miello,10/27/2014,Paris
C'est à ce moment que Robert a admis aux policiers que #Magnotta avait dormi chez lui dans la nuit du 28 au 29 mai -Miello,10/27/2014,Paris
"Le compte de #Magnotta sur PlanetRomeo avait cependant été supprimé le 30 mai, dit Miello",10/27/2014,Paris
"Le cellulaire avait été à la poubelle le 31 mai, vers 10h, gare St-Lazare, dit Miello. Enquête alors recentrée sur PlanetRomeo #Magnotta",10/27/2014,Paris
Police a alors appris que le cellulaire utilisé par #Magnotta était maintenant utilisé par qqun qui l'avait trouvé dans une poubelle...,10/27/2014,Paris
Miello dit que la police s'est intéressée à une personne qui avait contacts avec le no de tél. de #Magnotta,10/27/2014,Paris
"La perquisition au Soumman a eu lieu le 2 juin. On sait maintenant que #Magnotta avait quitté Paris le 31 mai, en soirée.",10/27/2014,Paris
Miello livre le détail des objets de #Magnotta retrouvés au Soumman par la police française.,10/27/2014,Paris
"27 mai 2012, #Magnotta n'a pas dormi au Novotel, malgré sa réservation, dit Miello. Possible qu'il a dormi au Soumman",10/27/2014,Paris
"Cette réservation avait été faite jusqu'au 4 juin, payée en argent comptant, au nom de Kirk Tramell, relate Miello #Magnotta",10/27/2014,Paris
"2 juin 2012, le gérant d'un hôtel a contacté commissariat pour dire qu'un type pouvant correspondre à #Magnotta -Miello",10/27/2014,Paris
"Réservation de #Magnotta au Novotel avait été faite le 26 mai 2012, en soirée, via http://t.co/bN5DhM12Rm, dit Miello",10/27/2014,Paris
"2 juin 2012, police française demande permission de surveiller la ligne téléphonique de #Magnotta, explique Miello.",10/27/2014,Paris
"Sur ce, témoignage enregistré de Miello reprend. Il explique que le téléphone de #Magnotta en France a été activé le 28 mai 2012.",10/27/2014,Paris
L'opérateur lié au no de téléphone donné par Robert a dit qu'il était au nom de Kirk Tramell. Adresse était celle du Novotel #Magnotta,10/27/2014,Paris
"Robert nous a donné le no de téléphone utilisé par #Magnotta, dit Miello. Nous a dit l'avoir connu par site de rencontres",10/27/2014,Paris
"Miello explique que #Magnotta utilisait trois cartes bancaires, avait retiré 1500€. Puis, Jean-Christophe Robert a contacté police",10/27/2014,Paris
"Avec cette info, on a retrouvé chauffeur de taxi, qui nous a amené au Novotel, où #Magnotta avait réservé chambre avec son vrai nom -Miello",10/27/2014,Paris
"On a eu images de #Magnotta au départ de Montréal. On a pu vérifier vidéos de Charles-de-Gaulle, explique Miello.",10/27/2014,Paris
"Avec cette info, on a entrepris recherches dans des hôtels dans le secteur de Clichy, mais nos recherches ont été vaines -Miello #Magnotta",10/27/2014,Paris
"12 octobre 2010, Magnotta avait porté plainte pour vol et viol. Il disait vivre dans un hôtel Mercure, place de Clichy -Miello #Magnotta",10/27/2014,-
"31 mai 2012, les autorités canadiennes ont demandé notre aide via Interpol, explique Miello. #Magnotta avait pris vol pour Paris.",10/27/2014,Paris
Miello travaille dans une brigade spécialisée dans les fugitifs. Leclair dit dans la vidéo qu'il s'oppose à son témoignage... #Magnotta,10/27/2014,Paris
Le témoignage de Miello a été enregistré le 26 juin dernier. Le jury écoute cet enregistrement. #Magnotta,10/27/2014,Paris
