tweet,selected_by_day,date,link,events,selected,journalist,keywords
Juré no7 est assermenté au procès #magnotta. Un professeur d'université.,,9/17/2014,https://twitter.com/#!/@IsabelleRicher/status/512307406349795328,,,@IsabelleRicher,est assermenté procès #magnotta professeur d'université
"Un athlète, un cycliste qui fait de la course de vélo, est le dernier candidat appelé ce matin. Il n'a pas été choisi #Magnotta",,9/18/2014,https://twitter.com/#!/@IsabelleRicher/status/512622928203350016,,,@IsabelleRicher,athlète cycliste fait course vélo est dernier candidat appelé matin ' a été choisi #Magnotta
"Le cellulaire de Me Luc Leclair, l'avocat de #Magnotta sonne alors qu'il choisit des jurés !",,9/18/2014,https://twitter.com/#!/@IsabelleRicher/status/512621763281559552,,,@IsabelleRicher,cellulaire Me Luc Leclair l'avocat #Magnotta sonne choisit jurés
Procès #Magnotta: la semaine prochaine sera consacrée à des points de droit; le procès devant jury ne commencera donc que le 29 septembre,,9/19/2014,https://twitter.com/#!/@IsabelleRicher/status/513051060433608704,arrestation,,@IsabelleRicher,Procès #Magnotta semaine prochaine sera consacrée points droit procès jury commencera 29 septembre
Bon.... Le procès #Magnotta commencera finalement lundi le 29 septembre à 9:30,,9/19/2014,https://twitter.com/#!/@IsabelleRicher/status/513049812737228800,journalistique,,@IsabelleRicher,Bon procès #Magnotta commencera lundi 29 septembre
Le jury est complété au procès #Magnotta mais on discute maintenant de la date du début du procès.,,9/19/2014,https://twitter.com/#!/@IsabelleRicher/status/513049464937136128,video,,@IsabelleRicher,jury est complété procès #Magnotta discute date début procès
Ne reste plus qu'un juré à choisir au procès #Magnotta,,9/19/2014,https://twitter.com/#!/@IsabelleRicher/status/512989087675203585,,,@IsabelleRicher,reste qu'un juré choisir procès #Magnotta
Choix du jury #Magnotta : parfois difficile de comprendre pourquoi une partie rejette un candidat qui semble excellent,,9/19/2014,https://twitter.com/#!/@IsabelleRicher/status/512983738784153600,,,@IsabelleRicher,jury #Magnotta difficile comprendre partie rejette candidat semble excellent
"Maintenant qu'il a accepté de se présenter devant les médias, le père de Jun Lin veut la paix, explique son avocat #Magnotta",,9/29/2014,https://twitter.com/#!/MessierSRC/status/516682640758689793,famille,,@MessierSRC,qu'il a accepté présenter médias père Jun Lin veut paix explique avocat #Magnotta
"Père de Jun Lin s'est fait expliquer système judiciaire d'ici, rôle de la Couronne et aussi, celui de la défense. #Magnotta",,9/29/2014,https://twitter.com/#!/MessierSRC/status/516682238797565953,famille,,@MessierSRC,Lin s ' est fait expliquer système judiciaire d'ici rôle Couronne défense #Magnotta
"Le père de Jun Lin «souffre tous les jours». Mais ne s'en remettra jamais totalement, dit son avocat #Magnotta",,9/29/2014,https://twitter.com/#!/MessierSRC/status/516681881719685121,famille,1,@MessierSRC,père Jun Lin souffre tous jours s ' remettra dit avocat #Magnotta
"Père de Jun Lin entend être ici jusqu'au verdict, dit son avocat. Veut savoir ce qu'a subi son fils. Veut aussi savoir: pourquoi? #Magnotta",,9/29/2014,https://twitter.com/#!/MessierSRC/status/516681020016701440,famille,1,@MessierSRC,Lin entend être jusqu'au verdict dit avocat Veut savoir qu'a subi fils Veut savoir #Magnotta
Père de la victime a trouvé matinée «difficile». A écouté depuis salle privée en pm pcq moins difficile. Il ne regarde pas les photos.,,9/29/2014,https://twitter.com/#!/MessierSRC/status/516680520286371841,famille,,@MessierSRC,victime a trouvé matinée difficile écouté privée pm pcq difficile regarde photos
"Père de la victime ne veut rien dire sur #Magnotta ni sur la défense qu'il va présenter, dit son avocat.",,9/29/2014,https://twitter.com/#!/MessierSRC/status/516680053389033473,famille,,@MessierSRC,victime veut dire #Magnotta défense qu'il va présenter dit avocat
"Famille de la victime n'a pas de problème avec preuves graphiques présentées, dit leur avocat. Mais ne veut pas qu'elles circulent.",,9/29/2014,https://twitter.com/#!/MessierSRC/status/516679606523674624,famille,,@MessierSRC,Famille victime ' a problème preuves graphiques présentées dit avocat veut qu'elles circulent
"Le père de la victime ne donnera aucune entrevue d'ici le verdict, dit son avocat. #Magnotta",,9/29/2014,https://twitter.com/#!/MessierSRC/status/516679335068315648,famille,1,@MessierSRC,père victime donnera entrevue d'ici verdict dit avocat #Magnotta
"L'avocat de la famille de la victime s'adresse aux médias après première journée de procès #Magnotta <a href=""http://t.co/g8uTJkfy6N"" target=""_blank"">http://t.co/g8uTJkfy6N</a>",,9/29/2014,https://twitter.com/#!/MessierSRC/status/516679084848345090,Paris,,@MessierSRC,L'avocat famille victime s ' adresse médias première journée procès #Magnotta
"Fin de la journée au procès #Magnotta. Policière Simoneau présentera d'autres photos mardi, dès 9h30",,9/29/2014,https://twitter.com/#!/MessierSRC/status/516674969452167168,procedure,,@MessierSRC,Fin journée procès #Magnotta Policière Simoneau présentera photos mardi 9h30
Toujours dans les poubelles de #Magnotta : un outil électrique. Rarement outil a eu l'air si menaçant...,,9/29/2014,https://twitter.com/#!/MessierSRC/status/516673041812951041,preuve,,@MessierSRC,poubelles #Magnotta outil électrique outil a eu l'air menaçant
Photo 137 : 2e couvre-matelas avec «substances rougeâtres» + marteau + tournevis #Magnotta,,9/29/2014,https://twitter.com/#!/MessierSRC/status/516671903583707138,preuve,,@MessierSRC,Photo couvre-matelas substances rougeâtres marteau tournevis #Magnotta
Simoneau poursuit description méticuleuse de tous objets retrouvés dans poubelles. Nous en sommes à la photo 136. #Magnotta,,9/29/2014,https://twitter.com/#!/MessierSRC/status/516671495456948224,preuve,,@MessierSRC,Simoneau poursuit description méticuleuse tous objets retrouvés poubelles sommes photo 136 #Magnotta
Photo de literie avec «beaucoup de substances rougeâtres» maintenant montrée aux jurés. #Magnotta,,9/29/2014,https://twitter.com/#!/MessierSRC/status/516669233997287424,preuve,1,@MessierSRC,substances rougeâtres montrée jurés #Magnotta
"Aussi trouvé dans un sac de poubelle: une partie de corps, que Simoneau a aussi photographiée. #Magnotta",,9/29/2014,https://twitter.com/#!/MessierSRC/status/516667867128135680,preuve,,@MessierSRC,trouvé sac poubelle partie corps Simoneau a photographiée #Magnotta
Nous en sommes à la photo 104 de Mme Simoneau pour votre information... #Magnotta,,9/29/2014,https://twitter.com/#!/MessierSRC/status/516665598693367808,preuve,,@MessierSRC,sommes photo 104 Mme Simoneau information #Magnotta
