date,journalist,link,selected_by_day,tweet
9/17/2014,@IsabelleRicher,https://twitter.com/#!/@IsabelleRicher/status/512307406349795328,,Juré no7 est assermenté au procès #magnotta. Un professeur d'université.
9/18/2014,@IsabelleRicher,https://twitter.com/#!/@IsabelleRicher/status/512622928203350016,,"Un athlète, un cycliste qui fait de la course de vélo, est le dernier candidat appelé ce matin. Il n'a pas été choisi #Magnotta"
9/18/2014,@IsabelleRicher,https://twitter.com/#!/@IsabelleRicher/status/512621763281559552,,"Le cellulaire de Me Luc Leclair, l'avocat de #Magnotta sonne alors qu'il choisit des jurés !"
9/19/2014,@IsabelleRicher,https://twitter.com/#!/@IsabelleRicher/status/513051060433608704,,Procès #Magnotta: la semaine prochaine sera consacrée à des points de droit; le procès devant jury ne commencera donc que le 29 septembre
9/19/2014,@IsabelleRicher,https://twitter.com/#!/@IsabelleRicher/status/513049812737228800,,Bon.... Le procès #Magnotta commencera finalement lundi le 29 septembre à 9:30
9/19/2014,@IsabelleRicher,https://twitter.com/#!/@IsabelleRicher/status/513049464937136128,,Le jury est complété au procès #Magnotta mais on discute maintenant de la date du début du procès.
9/19/2014,@IsabelleRicher,https://twitter.com/#!/@IsabelleRicher/status/512989087675203585,,Ne reste plus qu'un juré à choisir au procès #Magnotta
9/19/2014,@IsabelleRicher,https://twitter.com/#!/@IsabelleRicher/status/512983738784153600,,Choix du jury #Magnotta : parfois difficile de comprendre pourquoi une partie rejette un candidat qui semble excellent
9/29/2014,@MessierSRC,https://twitter.com/#!/MessierSRC/status/516682640758689793,,"Maintenant qu'il a accepté de se présenter devant les médias, le père de Jun Lin veut la paix, explique son avocat #Magnotta"
9/29/2014,@MessierSRC,https://twitter.com/#!/MessierSRC/status/516682238797565953,,"Père de Jun Lin s'est fait expliquer système judiciaire d'ici, rôle de la Couronne et aussi, celui de la défense. #Magnotta"
9/29/2014,@MessierSRC,https://twitter.com/#!/MessierSRC/status/516681881719685121,,"Le père de Jun Lin «souffre tous les jours». Mais ne s'en remettra jamais totalement, dit son avocat #Magnotta"
9/29/2014,@MessierSRC,https://twitter.com/#!/MessierSRC/status/516681020016701440,,"Père de Jun Lin entend être ici jusqu'au verdict, dit son avocat. Veut savoir ce qu'a subi son fils. Veut aussi savoir: pourquoi? #Magnotta"
9/29/2014,@MessierSRC,https://twitter.com/#!/MessierSRC/status/516680520286371841,,Père de la victime a trouvé matinée «difficile». A écouté depuis salle privée en pm pcq moins difficile. Il ne regarde pas les photos.
9/29/2014,@MessierSRC,https://twitter.com/#!/MessierSRC/status/516680053389033473,,"Père de la victime ne veut rien dire sur #Magnotta ni sur la défense qu'il va présenter, dit son avocat."
9/29/2014,@MessierSRC,https://twitter.com/#!/MessierSRC/status/516679606523674624,,"Famille de la victime n'a pas de problème avec preuves graphiques présentées, dit leur avocat. Mais ne veut pas qu'elles circulent."
9/29/2014,@MessierSRC,https://twitter.com/#!/MessierSRC/status/516679335068315648,,"Le père de la victime ne donnera aucune entrevue d'ici le verdict, dit son avocat. #Magnotta"
